dt_trading,Dec 13,Jan 14,Feb 14,Mar 14,Apr 14,May 14,Jun 14
2013-11-01,26.981,27.313,27.394,27.094,26.35,25.6,25.181
2013-11-04,27.181,27.431,27.425,27.189,26.463,25.713,25.096
2013-11-05,27.488,27.663,27.661,27.348,26.6,25.9,25.343
2013-11-06,27.4,27.575,27.609,27.309,26.55,25.55,25.821
2013-11-07,27.267,27.468,27.475,27.255,26.45,25.775,25.804
2013-11-08,27.377,27.613,27.642,27.35,26.65,25.875,25.707
2013-11-11,27.606,27.774,27.905,27.605,26.75,26.013,25.619
2013-11-12,27.65,27.866,28.062,27.136,26.85,26.044,25.484
2013-11-13,27.788,27.975,28.07,27.689,26.863,26.104,25.885
2013-11-14,27.938,28.076,28.124,27.849,26.95,26.3,25.689
2013-11-15,28.246,28.405,28.45,28.197,27.2,26.7,25.651
2013-11-18,28.196,28.41,28.335,28.073,27.094,26.6,25.651
2013-11-19,28.041,28.246,28.271,27.859,27.138,26.429,25.283
2013-11-20,27.748,28.062,28.054,27.804,26.9,26.2,26.064
2013-11-21,27.769,28.066,28.138,27.81,26.969,26.356,26.092
2013-11-22,27.763,28.041,28.059,27.834,27.088,26.35,25.855
2013-11-25,27.725,27.994,28.057,27.807,27.05,26.325,25.639
2013-11-26,27.75,27.971,28.158,27.868,27.05,26.25,25.978
2013-11-27,27.931,28.195,28.327,27.895,27.2,26.375,25.953
2013-11-28,28.236,28.356,28.402,28.219,27.2,26.425,26.232
2013-11-29,28.236,28.279,28.306,28.123,27.225,26.4,26.043
2013-12-02,,28.572,28.673000000000002,28.423,27.45,26.6,26.262
2013-12-03,,29.291,29.382,29.062,27.85,27.05,26.654
2013-12-04,,28.625,28.775,28.653,27.725,26.8,26.377
2013-12-05,,28.547,28.747,28.372,27.45,26.639,26.214
2013-12-06,,28.244,28.45,28.157,27.473,26.473,26.048
2013-12-09,,27.989,28.27,27.778,27.15,26.375,26.036
2013-12-10,,27.908,28.195,27.63,27.025,26.48,25.996
2013-12-11,,27.825,28.119,27.569,26.95,26.225,25.834
2013-12-12,,27.674,27.892,27.396,26.875,26.2,25.892
2013-12-13,,27.696,27.891,27.691,26.975,26.3,26.004
2013-12-16,,27.771,28.028,27.797,27.0,26.4,25.8
2013-12-17,,27.779,28.089,27.701,26.95,26.35,25.978
2013-12-18,,27.78,28.043,27.968,26.938,26.484,25.946
2013-12-19,,27.792,28.131,27.823,27.025,26.5,26.354
2013-12-20,,27.87,28.195,27.895,27.1,26.6,26.403
2013-12-23,,27.749,28.126,27.751,27.238,26.625,26.316
2013-12-24,,27.779,28.194,27.844,27.15,26.65,26.453
2013-12-27,,27.7,28.081,27.781,27.167,26.667,26.367
2013-12-30,,27.289,27.77,27.299,26.95,26.5,26.069
2013-12-31,,27.289,27.55,27.163,26.85,26.456,26.271
2014-01-02,,,27.302,26.953,26.6,26.45,26.11
2014-01-03,,,27.213,26.866,26.55,26.4,25.947
2014-01-06,,,27.372,27.063,26.604,26.304,25.992
2014-01-07,,,27.149,26.877,26.437,26.162,25.862
2014-01-08,,,27.43,27.192,26.622,26.347,25.947
2014-01-09,,,27.368,27.113,26.63,26.355,25.955
2014-01-10,,,26.905,26.706,26.391,26.141,25.791
2014-01-13,,,26.401,26.288,25.957,25.794,25.619
2014-01-14,,,26.406,26.304,25.986,25.799,25.524
2014-01-15,,,26.51,26.404,26.129,25.857,25.582
2014-01-16,,,26.666,26.578,26.358,26.108,25.858
2014-01-17,,,26.459,26.32,26.208,26.064,25.751
2014-01-20,,,26.5,26.418,26.25,26.1,25.798000000000002
2014-01-21,,,26.613,26.513,26.3,26.125,25.874
2014-01-22,,,26.475,26.4,26.225,26.0,25.977
2014-01-23,,,26.463,26.344,26.175,26.138,25.883
2014-01-24,,,26.625,26.517,26.15,26.05,25.874
2014-01-27,,,25.905,25.854,25.783,25.658,25.558
2014-01-28,,,25.93,25.85,25.742,25.642,25.617
2014-01-29,,,25.608,25.591,25.492,25.367,25.292
2014-01-30,,,25.401,25.419,25.272,25.29,25.19
2014-01-31,,,25.401,25.053,25.008,24.948,24.898
2014-02-03,,,,24.65,24.569,24.511,24.461
2014-02-04,,,,24.61,24.543,24.581,24.531
2014-02-05,,,,24.4,24.377,24.34,24.327
2014-02-06,,,,24.845,24.763,24.806,24.718
2014-02-07,,,,24.75,24.765,24.835,24.685
2014-02-10,,,,24.598,24.638,24.625,24.698
2014-02-11,,,,24.575,24.65,24.662,24.662
2014-02-12,,,,24.82,24.994,24.872,24.922
2014-02-13,,,,24.352,24.398,24.46,24.56
2014-02-14,,,,24.025,24.128,24.172,24.034
2014-02-17,,,,24.051,24.233,24.166,24.166
2014-02-18,,,,24.171,24.296,24.343,24.343
2014-02-19,,,,23.85,24.062,24.119,24.119
2014-02-20,,,,23.831,24.158,24.101,24.101
2014-02-21,,,,23.614,23.917,23.955,23.955
2014-02-24,,,,22.954,23.346,23.334,23.496
2014-02-25,,,,22.934,23.325,23.347,23.347
2014-02-26,,,,22.8,23.227,23.314,23.289
2014-02-27,,,,23.229,23.615,23.651,23.574
